Date,Drawdown
2010-06-01,0.0
2010-06-02,0.0
2010-06-03,0.0
2010-06-04,0.0
2010-06-07,0.0
2010-06-08,0.0
2010-06-09,0.0
2010-06-10,0.0
2010-06-11,0.0
2010-06-14,0.0
2010-06-15,0.0
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,0.0
2010-06-21,0.0
2010-06-22,0.0
2010-06-23,0.0
2010-06-24,0.0
2010-06-25,0.0
2010-06-28,0.0
2010-06-29,0.0
2010-06-30,0.0
2010-07-01,0.0
2010-07-02,0.0
2010-07-05,0.0
2010-07-06,0.0
2010-07-07,0.0
2010-07-08,0.0
2010-07-09,0.0
2010-07-12,0.0
2010-07-13,0.0
2010-07-14,0.0
2010-07-15,0.0
2010-07-16,0.0
2010-07-19,0.0
2010-07-20,0.0
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,0.0
2010-07-26,-0.005502787505600071
2010-07-27,-0.0026727075056000027
2010-07-28,-0.0023366355056000376
2010-07-29,0.0
2010-07-30,-0.003973185026366122
2010-08-02,0.0
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,-0.004660202222456888
2010-08-06,-0.00469524133691146
2010-08-09,0.0
2010-08-10,-0.003529462464943345
2010-08-11,-0.005900911212049831
2010-08-12,-0.006195519235982938
2010-08-13,0.0
2010-08-16,-0.0017907535999833746
2010-08-17,0.0
2010-08-18,0.0
2010-08-19,0.0
2010-08-20,-0.0005247675921137285
2010-08-23,0.0
2010-08-24,-0.001555093403954766
2010-08-25,-0.011325506889021342
2010-08-26,-0.008760170324833116
2010-08-27,-0.015806332591292604
2010-08-30,-0.018939221492690672
2010-08-31,-0.01492095094524537
2010-09-01,-0.002956947676862831
2010-09-02,-0.0008030865571518886
2010-09-03,0.0
2010-09-06,0.0
2010-09-07,0.0
2010-09-08,0.0
2010-09-09,0.0
2010-09-13,0.0
2010-09-14,0.0
2010-09-15,0.0
2010-09-16,-0.008155905696984544
2010-09-17,0.0
2010-09-20,0.0
2010-09-21,0.0
2010-09-22,-0.002168405206423696
2010-09-23,0.0
2010-09-24,0.0
2010-09-27,-0.0028242922535328674
2010-09-28,-0.003914649903201894
2010-09-29,-0.010236064862380045
2010-09-30,-0.007225613985732959
2010-10-01,0.0
2010-10-04,0.0
2010-10-05,-0.0003443033745038626
2010-10-06,0.0
2010-10-07,-0.007411445342701883
2010-10-08,-0.008221582174943731
2010-10-11,-0.004176124702975126
2010-10-12,-0.01001433658435591
2010-10-13,0.0
2010-10-14,-0.00931449926877892
2010-10-15,-0.024937984829484727
2010-10-18,-0.0223003880963506
2010-10-19,-0.02760667307617226
2010-10-20,-0.030612186053024515
2010-10-21,-0.015517256222730813
2010-10-22,-0.017540795563180334
2010-10-25,-0.012027233826334305
2010-10-26,-0.017968303874543068
2010-10-27,-0.027832086549436363
2010-10-28,-0.030498183836661252
2010-10-29,-0.030832417607362883
2010-11-01,-0.021463508189864866
2010-11-02,-0.01924823784916796
2010-11-03,-0.01351703551744643
2010-11-04,0.0
2010-11-05,0.0
2010-11-08,-0.007812572297129838
2010-11-09,-0.003166771554476644
2010-11-10,-0.006114523107219272
2010-11-11,-0.01889240767894329
2010-11-12,-0.03248968472774094
2010-11-15,-0.026676636211142912
2010-11-16,-0.044187929526213865
2010-11-18,-0.04319847445955871
2010-11-19,-0.056981274333354315
2010-11-22,-0.044195659643922136
2010-11-23,-0.053533641835478374
2010-11-24,-0.06617753770025958
2010-11-25,-0.07495122129911402
2010-11-26,-0.08025923545877345
2010-11-29,-0.06883154478008913
2010-11-30,-0.06440734074507204
2010-12-01,-0.05112957522821515
2010-12-02,-0.047254209550483206
2010-12-03,-0.049568091451150376
2010-12-06,-0.049890179688993785
2010-12-07,-0.049931406983437565
2010-12-08,-0.058496377404169686
2010-12-09,-0.07675749213693994
2010-12-10,-0.06555912828360011
2010-12-13,-0.05479107431601904
2010-12-14,-0.049990671219200755
2010-12-15,-0.05729820915939232
2010-12-16,-0.05165779993827824
2010-12-20,-0.04908109403553085
2010-12-21,-0.046525001780005626
2010-12-22,-0.051168225816756396
2010-12-23,-0.05086675122613493
2010-12-24,-0.04614622601230178
2010-12-27,-0.04621064365987049
2010-12-28,-0.044350261998087004
2010-12-29,-0.03727720429504544
2010-12-30,-0.03144096542532282
2010-12-31,-0.027841307279184768
2011-01-03,-0.02608399385351101
2011-01-04,-0.024192691720894666
2011-01-05,-0.03068856730172065
2011-01-06,-0.03692161888046652
2011-01-07,-0.05484260843407396
2011-01-10,-0.07654104884110913
2011-01-11,-0.07817983379525661
2011-01-12,-0.0673319019446903
2011-01-13,-0.07962536580669777
2011-01-14,-0.09170238637287442
2011-01-17,-0.08986519506421553
2011-01-18,-0.0816351964108405
2011-01-19,-0.0902259338906003
2011-01-20,-0.08736063692674534
2011-01-21,-0.0913571077819062
2011-01-24,-0.08356514913199842
2011-01-25,-0.08882678258540833
2011-01-27,-0.10262504269462025
2011-01-28,-0.11784306775624598
2011-01-31,-0.11573274562189584
2011-02-01,-0.12717847324189946
2011-02-02,-0.12873995701896435
2011-02-03,-0.11958234424060044
2011-02-04,-0.13659375661053808
2011-02-07,-0.13978114181223655
2011-02-08,-0.15186073908431597
2011-02-09,-0.16238915940294163
2011-02-10,-0.1670323834396924
2011-02-11,-0.15371081392248875
2011-02-14,-0.13241691634218467
2011-02-15,-0.12952069890749696
2011-02-16,-0.13136304362796114
2011-02-17,-0.12394213062804882
2011-02-18,-0.13317446787759246
2011-02-21,-0.12555514852316874
2011-02-22,-0.13359962435154593
2011-02-23,-0.13852628603759864
2011-02-24,-0.15856790454916736
2011-02-25,-0.1573207788922376
2011-02-28,-0.1545868939294226
2011-03-01,-0.13027825044290453
2011-03-03,-0.12559122240580722
2011-03-04,-0.12496765957734235
2011-03-07,-0.13516368483451346
2011-03-08,-0.12906977537451614
2011-03-09,-0.12889971278493462
2011-03-10,-0.13181912057274758
2011-03-11,-0.13734615473414036
2011-03-14,-0.12674558665023794
2011-03-15,-0.13877107309835968
2011-03-16,-0.13232415492968597
2011-03-17,-0.1384592916841273
2011-03-18,-0.14788230517047418
2011-03-21,-0.1499462465985748
2011-03-22,-0.14332153572261142
2011-03-23,-0.13524613942340136
2011-03-24,-0.1302395998543634
2011-03-25,-0.11147495349953696
2011-03-28,-0.11147495349953696
2011-03-29,-0.11147495349953696
2011-03-30,-0.11147495349953696
2011-03-31,-0.11147495349953696
2011-04-01,-0.11147495349953696
