Date,Drawdown
2010-06-01,0.0
2010-06-02,0.0
2010-06-03,0.0
2010-06-04,0.0
2010-06-07,0.0
2010-06-08,0.0
2010-06-09,-0.00736248802895989
2010-06-10,0.0
2010-06-11,0.0
2010-06-14,0.0
2010-06-15,0.0
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,0.0
2010-06-21,0.0
2010-06-22,-0.0035918161722345854
2010-06-23,0.0
2010-06-24,0.0
2010-06-25,-0.006680739013025017
2010-06-28,0.0
2010-06-29,-0.010903117054634759
2010-06-30,-0.006542823447862833
2010-07-01,-0.012107054009534823
2010-07-02,-0.012337079045164678
2010-07-05,-0.01078886130889678
2010-07-06,-0.0030187076772327792
2010-07-07,-0.007777730688601325
2010-07-08,-3.240359017242511e-05
2010-07-09,0.0
2010-07-12,0.0
2010-07-13,-8.142722445514394e-05
2010-07-14,-0.004137148948199276
2010-07-15,-0.003963585092972788
2010-07-16,0.0
2010-07-19,-0.0018461943876825204
2010-07-20,-0.004989814649949298
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,-0.0015587665507831305
2010-07-26,-0.0064955463133409275
2010-07-27,-0.0038966814486440793
2010-07-28,-0.004198090655053388
2010-07-29,-0.0031657201456677386
2010-07-30,-0.006038899151268873
2010-08-02,-0.000688267379444274
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,-0.0024349621846014857
2010-08-06,-0.0025051280517893737
2010-08-09,0.0
2010-08-10,-0.0038940441175691065
2010-08-11,-0.007754823576365699
2010-08-12,-0.009509193160299745
2010-08-13,-0.0029731231226427512
2010-08-16,-0.0059371327692442355
2010-08-17,-0.005529878196276816
2010-08-18,0.0
2010-08-19,0.0
2010-08-20,-0.001816859090632228
2010-08-23,0.0
2010-08-24,-0.0029021269668633165
2010-08-25,-0.01218015447545684
2010-08-26,-0.008324431301169333
2010-08-27,-0.017427481807124834
2010-08-30,-0.0196595713253378
2010-08-31,-0.01997030093113994
2010-09-01,-0.00924788531213494
2010-09-02,-0.005351780981692644
2010-09-03,-0.000674459363567026
2010-09-06,0.0
2010-09-07,0.0
2010-09-08,0.0
2010-09-09,-0.0001836868174355244
2010-09-13,0.0
2010-09-14,0.0
2010-09-15,0.0
2010-09-16,-0.008233667501373665
2010-09-17,0.0
2010-09-20,0.0
2010-09-21,0.0
2010-09-22,-0.0026619750919308904
2010-09-23,-0.0016122097114581457
2010-09-24,0.0
2010-09-27,-0.0011152689584965625
2010-09-28,-0.001513161039132127
2010-09-29,-0.006044241270610207
2010-09-30,-0.004712205252395907
2010-10-01,0.0
2010-10-04,0.0
2010-10-05,0.0
2010-10-06,0.0
2010-10-07,-0.00820881651597083
2010-10-08,-0.012349904269056688
2010-10-11,-0.0052772133314878955
2010-10-12,-0.010248556431777023
2010-10-13,0.0
2010-10-14,-0.0043681667570579785
2010-10-15,-0.021209442011721036
2010-10-18,-0.021541524246740273
2010-10-19,-0.025037164498137865
2010-10-20,-0.02748660240624068
2010-10-21,-0.01416593012874301
2010-10-22,-0.014114808948389235
2010-10-25,-0.0061022284546617955
2010-10-26,-0.00767453806204188
2010-10-27,-0.012767346670167878
2010-10-28,-0.017608300912806185
2010-10-29,-0.018950047842057893
2010-11-01,-0.007264543948373059
2010-11-02,-0.0049374242350495035
2010-11-03,0.0
2010-11-04,0.0
2010-11-05,0.0
2010-11-08,-0.0031000145812229984
2010-11-09,0.0
2010-11-10,0.0
2010-11-11,-0.01046888031142934
2010-11-12,-0.027494697597897466
2010-11-15,-0.022969272305937483
2010-11-16,-0.0407562852347364
2010-11-18,-0.03873309995734797
2010-11-19,-0.05353899703804221
2010-11-22,-0.03990623192410714
2010-11-23,-0.047562242961082135
2010-11-24,-0.06055981969026225
2010-11-25,-0.0730888559647056
2010-11-26,-0.08301103133919774
2010-11-29,-0.07323546504452205
2010-11-30,-0.0644726427730451
2010-12-01,-0.04849302941642064
2010-12-02,-0.042127284639229656
2010-12-03,-0.048101504521357086
2010-12-06,-0.05125099824854373
2010-12-07,-0.05725782126937384
2010-12-08,-0.07078284042865368
2010-12-09,-0.09512208303276326
2010-12-10,-0.08305368755001852
2010-12-13,-0.07156389601753577
2010-12-14,-0.06351199910384553
2010-12-15,-0.07268368351133014
2010-12-16,-0.0669556924987672
2010-12-20,-0.06252208745390953
2010-12-21,-0.059856528102013695
2010-12-22,-0.06184398353010612
2010-12-23,-0.06289134787170259
2010-12-24,-0.05935257293101759
2010-12-27,-0.05969703303538931
2010-12-28,-0.05902307836322884
2010-12-29,-0.05172703460211492
2010-12-30,-0.04562998177122468
2010-12-31,-0.03919624047620396
2011-01-03,-0.03663838440469802
2011-01-04,-0.037837198072588785
2011-01-05,-0.046487864168221704
2011-01-06,-0.053720999496986055
2011-01-07,-0.07541143075701895
2011-01-10,-0.09489882768980062
2011-01-11,-0.09701787742158918
2011-01-12,-0.08353081045603772
2011-01-13,-0.09433058209678569
2011-01-14,-0.1063925649505072
2011-01-17,-0.10749305711110613
2011-01-18,-0.09828795547124225
2011-01-19,-0.1009431187155796
2011-01-20,-0.09724867790292335
2011-01-21,-0.1013093229994485
2011-01-24,-0.09593971539097634
2011-01-25,-0.10261049745797513
2011-01-27,-0.11538386031454084
2011-01-28,-0.13414230857771092
2011-01-31,-0.1314188107040568
2011-02-01,-0.14599854730911133
2011-02-02,-0.14621450042875095
2011-02-03,-0.13701263382646145
2011-02-04,-0.15186646231369694
2011-02-07,-0.15616050938042292
2011-02-08,-0.16955747784134567
2011-02-09,-0.18623370426369668
2011-02-10,-0.18727832760440533
2011-02-11,-0.1727395796311888
2011-02-14,-0.14676087874342658
2011-02-15,-0.14179639270747513
2011-02-16,-0.140176986404568
2011-02-17,-0.1323128578995928
2011-02-18,-0.14243743567316836
2011-02-21,-0.13650685843391763
2011-02-22,-0.14472539342971946
2011-02-23,-0.14861965320708936
2011-02-24,-0.17338290074612284
2011-02-25,-0.17142754293082096
2011-02-28,-0.1702918149576127
2011-03-01,-0.1454181149307121
2011-03-03,-0.13965308265585386
2011-03-04,-0.138912186833271
2011-03-07,-0.14975313421609693
2011-03-08,-0.14166911342852972
2011-03-09,-0.13813142339897444
2011-03-10,-0.14109319139171106
2011-03-11,-0.14715466373323394
2011-03-14,-0.13859708005816607
2011-03-15,-0.151185404017679
2011-03-16,-0.14212340560260361
2011-03-17,-0.14677366953379634
2011-03-18,-0.1549550139073742
2011-03-21,-0.15685355586235927
2011-03-22,-0.1495860710326502
