Date,PortfolioValue,Positions
1995-06-06,5000000.0,0
1995-06-07,5000000.0,0
1995-06-08,5000000.0,0
1995-06-09,5000000.0,0
1995-06-12,5000000.0,0
1995-06-13,5000000.0,0
1995-06-14,5000000.0,0
1995-06-15,5000000.0,0
1995-06-16,5000000.0,0
1995-06-19,5000000.0,0
1995-06-20,5000000.0,0
1995-06-21,5000000.0,0
1995-06-22,5000000.0,0
1995-06-23,5000000.0,0
1995-06-26,5000000.0,0
1995-06-27,5000000.0,0
1995-06-28,5000000.0,0
1995-06-29,5000000.0,0
1995-06-30,5000000.0,0
1995-07-03,5000000.0,0
1995-07-04,5000000.0,0
1995-07-05,5000000.0,0
1995-07-06,5000000.0,0
1995-07-07,5000000.0,0
1995-07-10,5000000.0,0
1995-07-11,5000000.0,0
1995-07-12,5000000.0,0
1995-07-13,5000000.0,0
1995-07-14,5000000.0,0
1995-07-17,5000000.0,0
1995-07-18,5000000.0,0
1995-07-19,5000000.0,0
1995-07-20,5000000.0,0
1995-07-21,5000000.0,0
1995-07-25,5000000.0,0
1995-07-26,5000000.0,0
1995-07-27,5000000.0,0
1995-07-28,5000000.0,0
1995-07-31,5000000.0,0
1995-08-01,5000000.0,0
1995-08-02,5000000.0,0
1995-08-03,5000000.0,0
1995-08-04,5000000.0,0
1995-08-07,5000000.0,0
1995-08-08,5000000.0,0
1995-08-09,5000000.0,0
1995-08-11,5000000.0,0
1995-08-14,5000000.0,0
1995-08-16,5000000.0,0
1995-08-17,5000000.0,0
1995-08-21,5000000.0,0
1995-08-22,5000000.0,0
1995-08-24,5000000.0,0
1995-08-25,5000000.0,0
1995-08-28,5000000.0,0
1995-08-31,5000000.0,0
1995-09-01,5000000.0,0
1995-09-04,5000000.0,0
1995-09-05,5000000.0,0
1995-09-06,5000000.0,0
1995-09-07,5000000.0,0
1995-09-08,5000000.0,0
1995-09-11,5000000.0,0
1995-09-12,5000000.0,0
1995-09-13,5000000.0,0
1995-09-14,5000000.0,0
1995-09-15,5000000.0,0
1995-09-18,5000000.0,0
1995-09-19,5000000.0,0
1995-09-20,5000000.0,0
1995-09-21,5000000.0,0
1995-09-22,5000000.0,0
1995-09-25,5000000.0,0
1995-09-26,5000000.0,0
1995-09-27,5000000.0,0
1995-09-28,5000000.0,0
1995-09-29,5000000.0,0
1995-10-04,5000000.0,0
1995-10-05,5000000.0,0
1995-10-06,5000000.0,0
1995-10-09,5000000.0,0
1995-10-10,5000000.0,0
1995-10-11,5000000.0,0
1995-10-12,5000000.0,0
1995-10-13,5000000.0,0
1995-10-16,5000000.0,0
1995-10-17,5000000.0,0
1995-10-18,5000000.0,0
1995-10-19,5000000.0,0
1995-10-20,5000000.0,0
1995-10-23,5000000.0,0
1995-10-26,5000000.0,0
1995-10-27,5000000.0,0
1995-10-30,5000000.0,0
1995-10-31,5000000.0,0
1995-11-01,5000000.0,0
1995-11-02,5000000.0,0
1995-11-03,5000000.0,0
1995-11-06,5000000.0,0
1995-11-08,5000000.0,0
1995-11-09,5000000.0,0
1995-11-10,5000000.0,0
1995-11-13,5000000.0,0
1995-11-14,5000000.0,0
1995-11-15,5000000.0,0
1995-11-16,5000000.0,0
1995-11-17,5000000.0,0
1995-11-20,5000000.0,0
1995-11-21,5000000.0,0
1995-11-22,5000000.0,0
1995-11-23,5000000.0,0
1995-11-24,5000000.0,0
1995-11-27,5000000.0,0
1995-11-28,5000000.0,0
1995-11-29,5000000.0,0
1995-11-30,5000000.0,0
1995-12-01,5000000.0,0
1995-12-04,5000000.0,0
1995-12-05,5000000.0,0
1995-12-06,5000000.0,0
1995-12-07,5000000.0,0
1995-12-08,5000000.0,0
1995-12-11,5000000.0,0
1995-12-12,5000000.0,0
1995-12-13,5000000.0,0
1995-12-14,5000000.0,0
1995-12-15,5000000.0,0
1995-12-18,5000000.0,0
1995-12-19,5000000.0,0
1995-12-20,5000000.0,0
1995-12-21,5000000.0,0
1995-12-22,5000000.0,0
1996-01-01,5000000.0,0
1996-01-02,5000000.0,0
1996-01-03,5000000.0,0
1996-01-04,5000000.0,0
1996-01-05,5000000.0,0
1996-01-08,5000000.0,0
1996-01-09,5000000.0,0
1996-01-10,5000000.0,0
1996-01-11,5000000.0,0
1996-01-12,5000000.0,0
1996-01-15,5000000.0,0
1996-01-16,5000000.0,0
1996-01-17,5000000.0,0
1996-01-18,5000000.0,0
1996-01-19,5000000.0,0
1996-01-22,5000000.0,0
1996-01-23,5000000.0,0
1996-01-24,5000000.0,0
1996-01-25,5000000.0,0
1996-01-29,5000000.0,0
1996-01-30,5000000.0,0
1996-01-31,5000000.0,0
1996-02-01,5000000.0,0
1996-02-02,5000000.0,0
1996-02-05,5000000.0,0
1996-02-06,5000000.0,0
1996-02-07,5000000.0,0
1996-02-08,5000000.0,0
1996-02-09,5000000.0,0
1996-02-12,5000000.0,0
1996-02-13,5000000.0,0
1996-02-14,5000000.0,0
1996-02-15,5000000.0,0
1996-02-16,5000000.0,0
1996-02-19,5000000.0,0
1996-02-20,5000000.0,0
1996-02-22,5000000.0,0
1996-02-23,5000000.0,0
1996-02-26,5000000.0,0
1996-02-27,5000000.0,0
1996-02-28,5000000.0,0
1996-02-29,4976832.299634299,1
1996-03-01,4999393.1896343,1
1996-03-04,5019107.2796343,1
1996-03-06,5028644.059634299,1
1996-03-07,5005513.809634299,1
1996-03-08,4965089.249634299,1
1996-03-11,4904167.7296343,1
1996-03-12,4886517.5696343,1
1996-03-13,4940535.599634299,1
1996-03-14,4958114.589634299,1
1996-03-15,4914629.719634299,1
1996-03-18,4854633.4096343,1
1996-03-19,4813568.3196343,1
1996-03-21,4852142.459634299,1
1996-03-22,4817197.9896343,1
1996-03-25,4815988.099634299,1
1996-03-26,4817838.5196343,1
1996-03-27,4877692.4896343,1
1996-03-29,4982881.749634299,1
1996-04-02,5050137.3996343,1
1996-04-03,5082092.7296343,1
1996-04-04,5068997.4496343,1
1996-04-05,5120595.6996343,1
1996-04-08,5176037.129634299,1
1996-04-09,5171339.9096343,1
1996-04-10,5150629.4396343,1
1996-04-11,5130915.349634299,1
1996-04-12,5163368.8696343,1
1996-04-15,5241228.849634299,1
1996-04-16,5287133.499634299,1
1996-04-17,5424278.089634299,1
1996-04-18,5525980.0196343,1
1996-04-22,5504130.8296342995,1
1996-04-23,5507048.799634299,1
1996-04-24,5707178.839634299,1
1996-04-25,5693158.349634299,1
1996-04-26,5602131.919634299,1
1996-04-30,5642556.4796343,1
1996-05-02,5661772.379634299,1
1996-05-03,5612309.2296343,1
1996-05-06,5520571.099634299,1
1996-05-08,5596438.3196343,1
1996-05-09,5520286.419634299,1
1996-05-10,5481712.2796343,1
1996-05-13,5531602.4496343,1
1996-05-14,5582987.1896343,1
1996-05-15,5579926.879634299,1
1996-05-16,5626258.549634299,1
1996-05-17,5569251.379634299,1
1996-05-20,5464560.309634299,1
1996-05-21,5419509.6996343,1
1996-05-22,5416235.879634299,1
1996-05-23,5405916.2296343,1
1996-05-24,5425060.959634299,1
1996-05-27,5344781.1996343,1
1996-05-28,5311615.9796343,1
1996-05-29,5448618.2296343,1
1996-05-30,5403140.599634299,1
1996-05-31,5425843.8296342995,1
1996-06-03,5506337.099634299,1
1996-06-04,5501284.0296343,1
1996-06-05,5515589.1996343,1
1996-06-06,5558433.539634299,1
1996-06-07,5583912.3996343,1
1996-06-10,5623981.1096343,1
1996-06-11,5641275.419634299,1
1996-06-12,5693941.219634299,1
1996-06-13,5758848.259634299,1
1996-06-14,5867524.849634299,1
1996-06-17,5892007.3296342995,1
1996-06-18,5882897.5696343,1
1996-06-19,5777565.969634299,1
1996-06-20,5777281.289634299,1
1996-06-21,5679493.709634299,1
1996-06-24,5696147.4896343,1
1996-06-25,5621561.3296342995,1
1996-06-26,5573165.7296343,1
1996-06-27,5618287.509634299,1
1996-06-28,5593520.349634299,1
1996-07-01,5528826.8196343,1
1996-07-02,5497440.849634299,1
1996-07-03,5398585.719634299,1
1996-07-04,5422641.179634299,1
1996-07-05,5447052.4896343,1
1996-07-08,5476303.3596343,1
1996-07-09,5363997.099634299,1
1996-07-10,5380081.5196343,1
1996-07-11,5418655.6596343,1
1996-07-12,5391539.889634299,1
1996-07-15,5388123.7296343,1
1996-07-16,5338447.0696343,1
1996-07-17,5405773.889634299,1
1996-07-18,5440504.849634299,1
1996-07-19,5432604.9796343,1
1996-07-22,5499077.759634299,1
1996-07-23,5334034.5296343,1
1996-07-24,5242509.9096343,1
1996-07-25,5218027.429634299,1
1996-07-26,5167567.8996343,1
1996-07-29,5071274.889634299,1
1996-07-30,4985443.8696343,1
1996-07-31,5086932.289634299,1
1996-08-01,5099671.719634299,1
1996-08-02,5068712.7696343,1
1996-08-05,5049141.0196343,1
1996-08-06,5039817.749634299,1
1996-08-07,5097963.639634299,1
1996-08-08,5065794.799634299,1
1996-08-09,5052628.349634299,1
1996-08-12,5006296.679634299,1
1996-08-13,4982525.8996343,1
1996-08-14,4926657.4496343,1
1996-08-16,4870504.3196343,1
1996-08-19,4741615.4496343,1
1996-08-20,4745885.6496343,1
1996-08-21,4841538.129634299,1
1996-08-22,4841395.789634299,1
1996-08-23,4888083.309634299,1
1996-08-26,4887015.759634299,1
1996-08-27,4891712.9796343,1
1996-08-29,4961174.8996343,1
1996-08-30,4966654.9896343,1
1996-09-02,4978682.719634299,1
1996-09-03,4905377.6196343,1
1996-09-04,4920892.679634299,1
1996-09-06,4922671.929634299,1
1996-09-09,4876553.7696343,1
1996-09-10,4828229.339634299,1
1996-09-11,4765030.379634299,1
1996-09-12,4764745.6996343,1
1996-09-13,4717061.799634299,1
1996-09-18,4745956.8196343,1
1996-09-19,4689661.349634299,1
1996-09-20,4672509.379634299,1
1996-09-23,4637707.249634299,1
1996-09-24,4630092.059634299,1
1996-09-25,4623544.419634299,1
1996-09-26,4570807.4496343,1
1996-09-27,4504334.669634299,1
1996-09-30,4456721.9396343,1
1996-10-01,4437079.0196343,1
1996-10-03,4393949.999634299,1
1996-10-04,4286910.3196343,1
1996-10-07,4144000.9596342994,1
1996-10-08,4155245.8196342997,1
1996-10-09,4181009.3596342998,1
1996-10-10,4305699.1996343,1
1996-10-11,4364912.639634299,1
1996-10-14,4284348.1996343,1
1996-10-15,4282853.629634299,1
1996-10-16,4271751.1096343,1
1996-10-17,4267552.0796342995,1
1996-10-18,4286625.639634299,1
1996-10-22,4393238.299634299,1
1996-10-23,4468201.233614299,0
1996-10-24,4468201.233614299,0
1996-10-25,4468201.233614299,0
1996-10-28,4468201.233614299,0
1996-10-29,4468201.233614299,0
1996-10-30,4468201.233614299,0
1996-10-31,4468201.233614299,0
1996-11-01,4468201.233614299,0
1996-11-04,4468201.233614299,0
1996-11-05,4468201.233614299,0
1996-11-06,4468201.233614299,0
1996-11-07,4468201.233614299,0
1996-11-10,4468201.233614299,0
1996-11-13,4468201.233614299,0
1996-11-14,4468201.233614299,0
1996-11-15,4468201.233614299,0
1996-11-18,4468201.233614299,0
1996-11-19,4468201.233614299,0
1996-11-20,4468201.233614299,0
1996-11-21,4468201.233614299,0
1996-11-22,4468201.233614299,0
1996-11-25,4468201.233614299,0
1996-11-26,4468201.233614299,0
1996-11-27,4468201.233614299,0
1996-11-28,4468201.233614299,0
1996-11-29,4468201.233614299,0
1996-12-02,4468201.233614299,0
1996-12-03,4468201.233614299,0
1996-12-04,4468201.233614299,0
1996-12-05,4468201.233614299,0
1996-12-06,4468201.233614299,0
1996-12-09,4468201.233614299,0
1996-12-10,4468201.233614299,0
1996-12-11,4468201.233614299,0
1996-12-12,4468201.233614299,0
1996-12-13,4468201.233614299,0
1996-12-16,4468201.233614299,0
1996-12-17,4468201.233614299,0
1996-12-18,4468201.233614299,0
1996-12-19,4468201.233614299,0
1996-12-20,4468201.233614299,0
1996-12-23,4468201.233614299,0
1996-12-24,4468201.233614299,0
1997-01-01,4468201.233614299,0
1997-01-02,4468201.233614299,0
1997-01-03,4468201.233614299,0
1997-01-06,4468201.233614299,0
1997-01-07,4468201.233614299,0
1997-01-08,4468201.233614299,0
1997-01-09,4468201.233614299,0
1997-01-10,4468201.233614299,0
1997-01-13,4468201.233614299,0
1997-01-14,4468201.233614299,0
1997-01-15,4468201.233614299,0
1997-01-16,4468201.233614299,0
1997-01-17,4468201.233614299,0
1997-01-20,4468201.233614299,0
1997-01-21,4468201.233614299,0
1997-01-22,4468201.233614299,0
1997-01-24,4468201.233614299,0
1997-01-27,4468201.233614299,0
1997-01-28,4468201.233614299,0
1997-01-29,4468201.233614299,0
1997-01-30,4468201.233614299,0
1997-01-31,4468201.233614299,0
1997-02-03,4468201.233614299,0
1997-02-04,4468201.233614299,0
1997-02-05,4468201.233614299,0
1997-02-06,4468201.233614299,0
1997-02-07,4468201.233614299,0
1997-02-10,4468201.233614299,0
1997-02-11,4468201.233614299,0
1997-02-12,4468201.233614299,0
1997-02-13,4468201.233614299,0
1997-02-14,4468201.233614299,0
1997-02-17,4468201.233614299,0
1997-02-18,4468201.233614299,0
1997-02-19,4468201.233614299,0
1997-02-20,4468201.233614299,0
1997-02-21,4468201.233614299,0
1997-02-24,4468201.233614299,0
1997-02-25,4468201.233614299,0
1997-02-26,4468201.233614299,0
1997-02-27,4468201.233614299,0
1997-02-28,4468201.233614299,0
1997-03-01,4468201.233614299,0
1997-03-03,4468201.233614299,0
1997-03-04,4468201.233614299,0
1997-03-05,4468201.233614299,0
1997-03-06,4468201.233614299,0
1997-03-10,4468201.233614299,0
1997-03-11,4468201.233614299,0
1997-03-12,4468201.233614299,0
1997-03-13,4468201.233614299,0
1997-03-14,4468201.233614299,0
1997-03-17,4468201.233614299,0
1997-03-18,4468201.233614299,0
1997-03-19,4468201.233614299,0
1997-03-20,4468201.233614299,0
1997-03-21,4468201.233614299,0
1997-03-25,4468201.233614299,0
1997-03-26,4468201.233614299,0
1997-03-27,4468201.233614299,0
1997-03-28,4468201.233614299,0
1997-03-31,4468201.233614299,0
1997-04-01,4468201.233614299,0
1997-04-02,4468201.233614299,0
1997-04-03,4468201.233614299,0
1997-04-04,4468201.233614299,0
1997-04-07,4468201.233614299,0
1997-04-09,4468201.233614299,0
1997-04-10,4468201.233614299,0
1997-04-11,4468201.233614299,0
1997-04-12,4468201.233614299,0
1997-04-15,4468201.233614299,0
1997-04-17,4468201.233614299,0
1997-04-21,4468201.233614299,0
1997-04-22,4468201.233614299,0
1997-04-23,4468201.233614299,0
1997-04-24,4468201.233614299,0
1997-04-25,4468201.233614299,0
1997-04-28,4468201.233614299,0
1997-04-29,4468201.233614299,0
1997-04-30,4468201.233614299,0
1997-05-02,4468201.233614299,0
1997-05-05,4468201.233614299,0
1997-05-06,4468201.233614299,0
1997-05-07,4468201.233614299,0
1997-05-09,4468201.233614299,0
1997-05-12,4468201.233614299,0
1997-05-13,4468201.233614299,0
1997-05-14,4468201.233614299,0
1997-05-15,4468201.233614299,0
1997-05-16,4468201.233614299,0
1997-05-19,4468201.233614299,0
1997-05-20,4468201.233614299,0
1997-05-21,4468201.233614299,0
1997-05-22,4468201.233614299,0
1997-05-23,4449501.6127718,1
1997-05-26,4442011.6627718,1
1997-05-27,4422081.8827718,1
1997-05-28,4414461.672771799,1
1997-05-29,4443444.5227718,1
1997-05-30,4470082.692771799,1
1997-06-02,4525573.4527718,1
1997-06-03,4538078.4127718,1
1997-06-04,4564846.842771799,1
1997-06-05,4572922.962771799,1
1997-06-06,4535147.562771799,1
1997-06-09,4538013.2827718,1
1997-06-10,4565107.3627718,1
1997-06-11,4636880.6227718,1
1997-06-12,4700056.722771799,1
1997-06-13,4748252.922771799,1
1997-06-16,4746689.802771799,1
1997-06-17,4798793.802771799,1
1997-06-18,4802375.9527718,1
1997-06-19,4804655.502771799,1
1997-06-20,4805892.972771799,1
1997-06-23,4819830.7927717995,1
1997-06-24,4839304.6627718,1
1997-06-25,4821719.562771799,1
1997-06-26,4831749.5827717995,1
1997-06-27,4828362.8227718,1
1997-06-30,4971779.0827717995,1
1997-07-01,5004734.8627718,1
1997-07-02,5042901.0427717995,1
