Date,Roll_1Y,Roll_3Y,Roll_5Y
1995-06-07,,,
1995-06-08,,,
1995-06-09,,,
1995-06-12,,,
1995-06-13,,,
1995-06-14,,,
1995-06-15,,,
1995-06-16,,,
1995-06-19,,,
1995-06-20,,,
1995-06-21,,,
1995-06-22,,,
1995-06-23,,,
1995-06-26,,,
1995-06-27,,,
1995-06-28,,,
1995-06-29,,,
1995-06-30,,,
1995-07-03,,,
1995-07-04,,,
1995-07-05,,,
1995-07-06,,,
1995-07-07,,,
1995-07-10,,,
1995-07-11,,,
1995-07-12,,,
1995-07-13,,,
1995-07-14,,,
1995-07-17,,,
1995-07-18,,,
1995-07-19,,,
1995-07-20,,,
1995-07-21,,,
1995-07-25,,,
1995-07-26,,,
1995-07-27,,,
1995-07-28,,,
1995-07-31,,,
1995-08-01,,,
1995-08-02,,,
1995-08-03,,,
1995-08-04,,,
1995-08-07,,,
1995-08-08,,,
1995-08-09,,,
1995-08-11,,,
1995-08-14,,,
1995-08-16,,,
1995-08-17,,,
1995-08-21,,,
1995-08-22,,,
1995-08-24,,,
1995-08-25,,,
1995-08-28,,,
1995-08-31,,,
1995-09-01,,,
1995-09-04,,,
1995-09-05,,,
1995-09-06,,,
1995-09-07,,,
1995-09-08,,,
1995-09-11,,,
1995-09-12,,,
1995-09-13,,,
1995-09-14,,,
1995-09-15,,,
1995-09-18,,,
1995-09-19,,,
1995-09-20,,,
1995-09-21,,,
1995-09-22,,,
1995-09-25,,,
1995-09-26,,,
1995-09-27,,,
1995-09-28,,,
1995-09-29,,,
1995-10-04,,,
1995-10-05,,,
1995-10-06,,,
1995-10-09,,,
1995-10-10,,,
1995-10-11,,,
1995-10-12,,,
1995-10-13,,,
1995-10-16,,,
1995-10-17,,,
1995-10-18,,,
1995-10-19,,,
1995-10-20,,,
1995-10-23,,,
1995-10-26,,,
1995-10-27,,,
1995-10-30,,,
1995-10-31,,,
1995-11-01,,,
1995-11-02,,,
1995-11-03,,,
1995-11-06,,,
1995-11-08,,,
1995-11-09,,,
1995-11-10,,,
1995-11-13,,,
1995-11-14,,,
1995-11-15,,,
1995-11-16,,,
1995-11-17,,,
1995-11-20,,,
1995-11-21,,,
1995-11-22,,,
1995-11-23,,,
1995-11-24,,,
1995-11-27,,,
1995-11-28,,,
1995-11-29,,,
1995-11-30,,,
1995-12-01,,,
1995-12-04,,,
1995-12-05,,,
1995-12-06,,,
1995-12-07,,,
1995-12-08,,,
1995-12-11,,,
1995-12-12,,,
1995-12-13,,,
1995-12-14,,,
1995-12-15,,,
1995-12-18,,,
1995-12-19,,,
1995-12-20,,,
1995-12-21,,,
1995-12-22,,,
1996-01-01,,,
1996-01-02,,,
1996-01-03,,,
1996-01-04,,,
1996-01-05,,,
1996-01-08,,,
1996-01-09,,,
1996-01-10,,,
1996-01-11,,,
1996-01-12,,,
1996-01-15,,,
1996-01-16,,,
1996-01-17,,,
1996-01-18,,,
1996-01-19,,,
1996-01-22,,,
1996-01-23,,,
1996-01-24,,,
1996-01-25,,,
1996-01-29,,,
1996-01-30,,,
1996-01-31,,,
1996-02-01,,,
1996-02-02,,,
1996-02-05,,,
1996-02-06,,,
1996-02-07,,,
1996-02-08,,,
1996-02-09,,,
1996-02-12,,,
1996-02-13,,,
1996-02-14,,,
1996-02-15,,,
1996-02-16,,,
1996-02-19,,,
1996-02-20,,,
1996-02-22,,,
1996-02-23,,,
1996-02-26,,,
1996-02-27,,,
1996-02-28,,,
1996-02-29,,,
1996-03-01,,,
1996-03-04,,,
1996-03-06,,,
1996-03-07,,,
1996-03-08,,,
1996-03-11,,,
1996-03-12,,,
1996-03-13,,,
1996-03-14,,,
1996-03-15,,,
1996-03-18,,,
1996-03-19,,,
1996-03-21,,,
1996-03-22,,,
1996-03-25,,,
1996-03-26,,,
1996-03-27,,,
1996-03-29,,,
1996-04-02,,,
1996-04-03,,,
1996-04-04,,,
1996-04-05,,,
1996-04-08,,,
1996-04-09,,,
1996-04-10,,,
1996-04-11,,,
1996-04-12,,,
1996-04-15,,,
1996-04-16,,,
1996-04-17,,,
1996-04-18,,,
1996-04-22,,,
1996-04-23,,,
1996-04-24,,,
1996-04-25,,,
1996-04-26,,,
1996-04-30,,,
1996-05-02,,,
1996-05-03,,,
1996-05-06,,,
1996-05-08,,,
1996-05-09,,,
1996-05-10,,,
1996-05-13,,,
1996-05-14,,,
1996-05-15,,,
1996-05-16,,,
1996-05-17,,,
1996-05-20,,,
1996-05-21,,,
1996-05-22,,,
1996-05-23,,,
1996-05-24,,,
1996-05-27,,,
1996-05-28,,,
1996-05-29,,,
1996-05-30,,,
1996-05-31,,,
1996-06-03,,,
1996-06-04,,,
1996-06-05,,,
1996-06-06,,,
1996-06-07,,,
1996-06-10,,,
1996-06-11,,,
1996-06-12,,,
1996-06-13,,,
1996-06-14,,,
1996-06-17,,,
1996-06-18,,,
1996-06-19,,,
1996-06-20,,,
1996-06-21,,,
1996-06-24,,,
1996-06-25,,,
1996-06-26,,,
1996-06-27,,,
1996-06-28,,,
1996-07-01,0.12090266456835963,,
1996-07-02,0.11965738840135742,,
1996-07-03,0.10943176587449321,,
1996-07-04,0.10474324544283298,,
1996-07-05,0.09958871369986344,,
1996-07-08,0.09079615310277944,,
1996-07-09,0.0900632805642162,,
1996-07-10,0.08386489695500043,,
1996-07-11,0.08903540931705267,,
1996-07-12,0.09328710856516553,,
1996-07-15,0.09524623428084855,,
1996-07-16,0.09282490383497533,,
1996-07-17,0.08708347649245707,,
1996-07-18,0.07835260456129833,,
1996-07-19,0.06012558923859146,,
1996-07-22,0.05380041661610191,,
1996-07-23,0.06021240716249121,,
1996-07-24,0.056394556711029,,
1996-07-25,0.04912607623666598,,
1996-07-26,0.02910073703236926,,
1996-07-29,0.017165575019062906,,
1996-07-30,0.016092779192525386,,
1996-07-31,0.014439709873820483,,
1996-08-01,0.018228813534868715,,
1996-08-02,0.02200022673920521,,
1996-08-05,0.02509665098699121,,
1996-08-06,0.0373108098440702,,
1996-08-07,0.04748171483057306,,
1996-08-08,0.06198833773314827,,
1996-08-09,0.07856547248934698,,
1996-08-12,0.0826686547734975,,
1996-08-13,0.08432505796928735,,
1996-08-14,0.09041093298512815,,
1996-08-16,0.08742037675401804,,
1996-08-19,0.09849656816554708,,
1996-08-20,0.10343986995171972,,
1996-08-21,0.10340736783117499,,
1996-08-22,0.0823408642941561,,
1996-08-23,0.07217990183510692,,
1996-08-26,0.07123233267010487,,
1996-08-27,0.08113999042083775,,
1996-08-29,0.07186370489022298,,
1996-08-30,0.07233219891404663,,
1996-09-02,0.07032115605512967,,
1996-09-03,0.06234610149847386,,
1996-09-04,0.06750413551321721,,
1996-09-06,0.063695117091907,,
1996-09-09,0.05777255608816956,,
1996-09-10,0.05949354243865557,,
1996-09-11,0.05969337912374528,,
1996-09-12,0.06083251501347775,,
1996-09-13,0.056002235005523704,,
1996-09-18,0.04949088631008802,,
1996-09-19,0.03975471448338075,,
1996-09-20,0.031684180413996677,,
1996-09-23,0.030090720678420446,,
1996-09-24,0.030103023709713184,,
1996-09-25,0.02818380871502635,,
1996-09-26,0.02193993146004458,,
1996-09-27,0.025633566942585007,,
1996-09-30,0.028417713267580247,,
1996-10-01,0.03138317956019354,,
1996-10-03,0.03106659684013624,,
1996-10-04,0.02891084461594795,,
1996-10-07,0.02419581970786333,,
1996-10-08,0.02656264690262311,,
1996-10-09,0.02815246407827665,,
1996-10-10,0.027822576603674265,,
1996-10-11,0.027308111887590192,,
1996-10-14,0.028243937911664463,,
1996-10-15,0.030496899962853652,,
1996-10-16,0.03317964238327209,,
1996-10-17,0.04221544508433872,,
1996-10-18,0.04635419792915019,,
1996-10-22,0.03938185435242181,,
1996-10-23,0.025607415134730083,,
1996-10-24,0.045986170366676515,,
1996-10-25,0.04504231952986604,,
1996-10-28,0.04758120013564504,,
1996-10-29,0.06563757471217257,,
1996-10-30,0.08088657724836379,,
1996-10-31,0.08188498092546825,,
1996-11-01,0.0825865719853418,,
1996-11-04,0.09239951195006135,,
1996-11-05,0.10100999507291708,,
1996-11-06,0.10024591449900688,,
1996-11-07,0.09336429882831676,,
1996-11-10,0.08754141478587929,,
1996-11-13,0.0738162414758129,,
1996-11-14,0.06914983076970449,,
1996-11-15,0.06364633517141383,,
1996-11-18,0.044025506826253946,,
1996-11-19,0.0542620810780875,,
